equipment_code,line_code,operation_code,equipment_name,equipment_type,creator_binding_id,sort_order,status
TrayDisAssy01_E002,TrayDisAssy01,TrayDisAssy_OP01,CT_HBNCZMLD_LD01,ROBOT,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_HBNCZMLD_LD01,2,ACTIVE
TrayDisAssy01_E003,TrayDisAssy01,TrayDisAssy_OP01,CT_SORTCV_CV01,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTCV_CV01,3,ACTIVE
TrayDisAssy01_E004,TrayDisAssy01,TrayDisAssy_OP01,CT_SORTCV_CV02,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTCV_CV02,4,ACTIVE
TrayDisAssy01_E005,TrayDisAssy01,TrayDisAssy_OP01,CT_SORTCV_CV03,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTCV_CV03,5,ACTIVE
TrayDisAssy01_E006,TrayDisAssy01,TrayDisAssy_OP01,CT_SORTCV_CV04,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTCV_CV04,6,ACTIVE
TrayDisAssy01_E007,TrayDisAssy01,TrayDisAssy_OP01,CT_SORTCV_CV05,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTCV_CV05,7,ACTIVE
TrayDisAssy01_E008,TrayDisAssy01,TrayDisAssy_OP01,CT_SORTCV_CV06,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTCV_CV06,8,ACTIVE
TrayDisAssy01_E009,TrayDisAssy01,TrayDisAssy_OP01,CT_SORTCV_CV07,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTCV_CV07,9,ACTIVE
TrayDisAssy01_E010,TrayDisAssy01,TrayDisAssy_OP02,CT_SORTRT_RT01,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTRT_RT01,1,ACTIVE
TrayDisAssy01_E011,TrayDisAssy01,TrayDisAssy_OP02,CT_SORTCV_CV08,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTCV_CV08,2,ACTIVE
TrayDisAssy01_E012,TrayDisAssy01,TrayDisAssy_OP02,CT_HBNCZMLD_LD02,ROBOT,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_HBNCZMLD_LD02,3,ACTIVE
TrayDisAssy01_E013,TrayDisAssy01,TrayDisAssy_OP02,CT_SORTROLLER_RL02,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTROLLER_RL02,4,ACTIVE
TrayDisAssy01_E014,TrayDisAssy01,TrayDisAssy_OP02,CT_SORTTABLE_TB01,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTTABLE_TB01,5,ACTIVE
TrayDisAssy01_E015,TrayDisAssy01,TrayDisAssy_OP02,CT_SORTTABLE_TB02,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTTABLE_TB02,6,ACTIVE
TrayDisAssy01_E016,TrayDisAssy01,TrayDisAssy_OP02,CT_SORTTABLE_TB03,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTTABLE_TB03,7,ACTIVE
TrayDisAssy01_E017,TrayDisAssy01,TrayDisAssy_OP02,CT_SORTTABLE_TB04,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTTABLE_TB04,8,ACTIVE
TrayDisAssy01_E018,TrayDisAssy01,TrayDisAssy_OP02,CT_SORTTABLE_TB05,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTTABLE_TB05,9,ACTIVE
TrayDisAssy01_E019,TrayDisAssy01,TrayDisAssy_OP03,CT_SORTROLLB_RL03,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTROLLB_RL03,1,ACTIVE
TrayDisAssy01_E020,TrayDisAssy01,TrayDisAssy_OP03,CT_HBNCZMLD_LD03,ROBOT,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_HBNCZMLD_LD03,2,ACTIVE
TrayDisAssy01_E021,TrayDisAssy01,TrayDisAssy_OP03,CT_SORTROLLER_RL04,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTROLLER_RL04,3,ACTIVE
TrayDisAssy01_E022,TrayDisAssy01,TrayDisAssy_OP03,CT_SORTTABLE_TB06,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTTABLE_TB06,4,ACTIVE
TrayDisAssy01_E023,TrayDisAssy01,TrayDisAssy_OP03,CT_SORTTABLE_TB07,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTTABLE_TB07,5,ACTIVE
TrayDisAssy01_E024,TrayDisAssy01,TrayDisAssy_OP03,CT_SORTTABLE_TB08,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTTABLE_TB08,6,ACTIVE
TrayDisAssy01_E025,TrayDisAssy01,TrayDisAssy_OP03,CT_SORTTABLE_TB09,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTTABLE_TB09,7,ACTIVE
TrayDisAssy01_E026,TrayDisAssy01,TrayDisAssy_OP03,CT_SORTTABLE_TB10,OTHER,/World/ProdLine/a_L_HST_SORTING/t_id_L_HST_SORTING_SL01/id_L_HST_SORTING_SL01/L_HST_SORTING/L_HST_SORTING/ASSET_PROD/asset_L_HST_SORTING_PROD/t_id_CT_SORTTABLE_TB10,8,ACTIVE
CPDisAssy01_E001,CPDisAssy01,CPDisAssy_OP01,CT_HOUCCSTC_TR01,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSTC_TR01,1,ACTIVE
CPDisAssy01_E002,CPDisAssy01,CPDisAssy_OP01,CT_HOUCCSLD_LD01,ROBOT,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSLD_LD01,2,ACTIVE
CPDisAssy01_E003,CPDisAssy01,CPDisAssy_OP01,CT_HOUCCSYZ_1_LD02,ROBOT,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSYZ_1_LD02,3,ACTIVE
CPDisAssy01_E004,CPDisAssy01,CPDisAssy_OP01,CT_HOUCCSSLYZ_IP01,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSSLYZ_IP01,4,ACTIVE
CPDisAssy01_E005,CPDisAssy01,CPDisAssy_OP02,CT_HOUCCSHMF_FA01,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSHMF_FA01,1,ACTIVE
CPDisAssy01_E006,CPDisAssy01,CPDisAssy_OP02,CT_HOUCCSCPSC_PSC01,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSCPSC_PSC01,2,ACTIVE
CPDisAssy01_E007,CPDisAssy01,CPDisAssy_OP02,CT_HOUCCSCPSC_PSC02,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSCPSC_PSC02,3,ACTIVE
CPDisAssy01_E008,CPDisAssy01,CPDisAssy_OP02,CT_HOUCCSCPSC_PSC03,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSCPSC_PSC03,4,ACTIVE
CPDisAssy01_E009,CPDisAssy01,CPDisAssy_OP03,CT_HOUCCSHMF_FA02,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSHMF_FA02,1,ACTIVE
CPDisAssy01_E010,CPDisAssy01,CPDisAssy_OP03,CT_HOUCCSCP_SCP01,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSCP_SCP01,2,ACTIVE
CPDisAssy01_E011,CPDisAssy01,CPDisAssy_OP03,CT_HOUCCSIOBSC_BSC01,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSIOBSC_BSC01,3,ACTIVE
CPDisAssy01_E012,CPDisAssy01,CPDisAssy_OP03,CT_HOUCCSHMF_FA03,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSHMF_FA03,4,ACTIVE
CPDisAssy01_E013,CPDisAssy01,CPDisAssy_OP04,CT_HOUCCSCX8_SCX801,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSCX8_SCX801,1,ACTIVE
CPDisAssy01_E014,CPDisAssy01,CPDisAssy_OP04,CT_HOUCCSPCBSC_BSC02,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSPCBSC_BSC02,2,ACTIVE
CPDisAssy01_E015,CPDisAssy01,CPDisAssy_OP04,CT_HOUCCSHMF_FA04,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSHMF_FA04,3,ACTIVE
CPDisAssy01_E016,CPDisAssy01,CPDisAssy_OP04,CT_HOUCCSSBP_SBP01,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSSBP_SBP01,4,ACTIVE
CPDisAssy01_E017,CPDisAssy01,CPDisAssy_OP05,CT_HOUCCSYZ_2_UL01,OTHER,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSYZ_2_UL01,1,ACTIVE
CPDisAssy01_E018,CPDisAssy01,CPDisAssy_OP05,CT_HOUCCSPSL_MLD01,ROBOT,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSPSL_MLD01,2,ACTIVE
CPDisAssy01_E019,CPDisAssy01,CPDisAssy_OP05,CT_HOUCCSPSL_MLD02,ROBOT,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSPSL_MLD02,3,ACTIVE
CPDisAssy01_E020,CPDisAssy01,CPDisAssy_OP05,CT_HOUCCSPSL_MLD03,ROBOT,/World/ProdLine/a_L_HST_Dis_Assy_Sub/t_id_L_HST_Dis_Assy_Sub_DA01/id_L_HST_Dis_Assy_Sub_DA01/L_HST_Dis_Assy_Sub/L_HST_Dis_Assy_Sub/ASSET_PROD/asset_L_HST_Dis_Assy_Sub_PROD/t_id_CT_HOUCCSPSL_MLD03,4,ACTIVE
Packing01_E001,Packing01,Packing_OP01,CT_HST_Pack_Trolley_TR01,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HST_Pack_Trolley_TR01,1,ACTIVE
Packing01_E002,Packing01,Packing_OP01,CT_HOPBLSJ_LD01,ROBOT,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBLSJ_LD01,2,ACTIVE
Packing01_E003,Packing01,Packing_OP02,CT_HOPBYZ_CV01,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBYZ_CV01,1,ACTIVE
Packing01_E004,Packing01,Packing_OP02,CT_HOPBHM_A_HM01,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBHM_A_HM01,2,ACTIVE
Packing01_E005,Packing01,Packing_OP03,TR7700L_QH_SII_AOI01,AOI,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_TR7700L_QH_SII_AOI01,1,ACTIVE
Packing01_E006,Packing01,Packing_OP03,CT_HOPBHM_A_HM02,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBHM_A_HM02,2,ACTIVE
Packing01_E007,Packing01,Packing_OP04,CT_HOPBCRO_CV02,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBCRO_CV02,1,ACTIVE
Packing01_E008,Packing01,Packing_OP04,CT_HOPBHM_B_HM03,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBHM_B_HM03,2,ACTIVE
Packing01_E009,Packing01,Packing_OP05,CT_HOPBHM_B_HM04,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBHM_B_HM04,1,ACTIVE
Packing01_E010,Packing01,Packing_OP05,CT_HOPBAOI_AOI02,AOI,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBAOI_AOI02,2,ACTIVE
Packing01_E011,Packing01,Packing_OP06,CT_HOPBHM_C_HM05,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBHM_C_HM05,1,ACTIVE
Packing01_E012,Packing01,Packing_OP06,CT_HOPBHM_C_HM06,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBHM_C_HM06,2,ACTIVE
Packing01_E013,Packing01,Packing_OP07,CT_HOPBFWX1_X01,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBFWX1_X01,1,ACTIVE
Packing01_E014,Packing01,Packing_OP07,CT_HOPBWST_W01,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBWST_W01,2,ACTIVE
Packing01_E015,Packing01,Packing_OP08,CT_HOPBFWX2_X02,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBFWX2_X02,1,ACTIVE
Packing01_E016,Packing01,Packing_OP08,CT_HOPBFKB_LB01,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBFKB_LB01,2,ACTIVE
Packing01_E017,Packing01,Packing_OP09,CT_HOPBMD_MD01,ROBOT,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBMD_MD01,1,ACTIVE
Packing01_E018,Packing01,Packing_OP09,CT_HOPBYZ_CV03,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBYZ_CV03,2,ACTIVE
Packing01_E019,Packing01,Packing_OP10,CT_HOPBLSJ_LD02,ROBOT,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HOPBLSJ_LD02,1,ACTIVE
Packing01_E020,Packing01,Packing_OP10,CT_HST_Pack_Trolley_TR02,OTHER,/World/ProdLine/a_L_HST_PACK/t_id_L_HST_PACK_PACK01/id_L_HST_PACK_PACK01/L_HST_PACK/L_HST_PACK/ASSET_PROD/asset_L_HST_PACK_PROD/t_id_CT_HST_Pack_Trolley_TR02,2,ACTIVE
